Id,SalePrice
1461,133330.78087040968
1462,151135.82176596855
1463,190548.04183645308
1464,184638.8316393348
1465,214894.9075905534
1466,178111.4960586061
1467,173155.75605369647
1468,177141.30027319636
1469,185089.1545243953
1470,111106.65653642228
1471,187065.26013785836
1472,103097.43546042251
1473,90381.77356142388
1474,149800.57800253687
1475,147977.58257073048
1476,481668.06837768335
1477,244707.5274789562
1478,328658.24561921717
1479,197019.6717979428
1480,453635.3783050331
1481,348572.9266694979
1482,202957.31640076783
1483,169808.0368380709
1484,172926.5332557332
1485,167294.67413815105
1486,213586.31969975936
1487,382642.27152490127
1488,248121.80445261055
1489,219197.79629006019
1490,207369.83134124088
1491,191389.7969758127
1492,96484.31625413879
1493,146722.80234596136
1494,275011.86215127184
1495,289310.3827886695
1496,236170.86111823632
1497,194391.7473827897
1498,149726.53011916488
1499,150610.20747291576
1500,100417.16221440204
1501,174483.94726302623
1502,155055.49490317242
1503,369911.0065201923
1504,222643.52048278405
1505,206897.98240140898
1506,181561.15087556044
1507,169743.73863949356
1508,195969.78526249214
1509,163192.95080454735
1510,148381.96106736112
1511,144023.94692752737
1512,170190.888290839
1513,169471.32021062728
1514,182675.0877570691
1515,199529.4689613281
1516,145586.28015824762
1517,168015.48834145605
1518,138080.17506803738
1519,221254.70185625262
1520,138124.78250487405
1521,146537.19489946213
1522,166648.90261970946
1523,114394.15462585301
1524,117855.18635255021
1525,106994.92722840434
1526,123043.23026739882
1527,113499.31951622618
1528,123895.33172319892
1529,140798.0946918956
1530,169700.31697799123
1531,108801.2057163807
1532,111131.93512356491
1533,138359.44323463785
1534,127436.97540984133
1535,147206.59211052398
1536,114288.55824966877
1537,64683.50436194541
1538,187726.69730963706
1539,162074.46510458467
1540,122994.15577811128
1541,168938.63208368348
1542,148045.51200550038
1543,180078.7294963783
1544,88817.69612511541
1545,87604.35289125008
1546,119659.24577737339
1547,143462.99583847824
1548,142334.02413075665
1549,97042.48935704395
1550,141204.98813653493
1551,114800.71800193358
1552,161381.66096222374
